Experiment,Year,Fold,MSE,R2,MAPE,Intercept,Coeff_INPBELI_PAST,dataset_size,Coeff_birth_year,Coeff_gender,Coeff_birth_municipality_encoded,Coeff_embeddings
Experiment 5: All excluding INPBELI_PAST,2022.00,mean,2.27e8,0.74,1.11,0.26,nan,482.00,-0.00,0.00,0.16,nan
Experiment 6: birth_year and gender,2017.00,mean,8.78e8,0.00,2.94,0.24,nan,492.00,-0.01,0.01,nan,nan
Experiment 6: birth_year and gender,2018.00,mean,7.82e8,0.00,2.81,0.33,nan,481.00,0.01,-0.02,nan,nan
Experiment 6: birth_year and gender,2019.00,mean,7.41e8,0.01,2.11,0.32,nan,487.00,-0.00,-0.03,nan,nan
Experiment 6: birth_year and gender,2020.00,mean,7.99e8,0.00,3.07,0.30,nan,490.00,-0.01,0.00,nan,nan
Experiment 6: birth_year and gender,2021.00,mean,8.60e8,0.00,3.75,0.28,nan,466.00,0.00,0.01,nan,nan
Experiment 6: birth_year and gender,2022.00,mean,8.62e8,0.00,5.21,0.26,nan,482.00,-0.00,-0.00,nan,nan
Experiment 7: gender,2017.00,mean,8.81e8,0.00,3.02,0.24,nan,492.00,nan,0.01,nan,nan
Experiment 7: gender,2018.00,mean,7.82e8,0.00,2.80,0.33,nan,481.00,nan,-0.02,nan,nan
Experiment 7: gender,2019.00,mean,7.41e8,0.00,2.11,0.32,nan,487.00,nan,-0.03,nan,nan
Experiment 7: gender,2020.00,mean,8.01e8,0.00,3.08,0.30,nan,490.00,nan,0.00,nan,nan
Experiment 7: gender,2021.00,mean,8.61e8,0.00,3.75,0.28,nan,466.00,nan,0.01,nan,nan
Experiment 7: gender,2022.00,mean,8.62e8,0.00,5.22,0.26,nan,482.00,nan,-0.00,nan,nan
Experiment 8: birth_year,2017.00,mean,8.78e8,0.00,2.95,0.24,nan,492.00,-0.01,nan,nan,nan
Experiment 8: birth_year,2018.00,mean,7.84e8,0.00,2.81,0.32,nan,481.00,0.01,nan,nan,nan
Experiment 8: birth_year,2019.00,mean,7.45e8,0.00,2.14,0.31,nan,487.00,-0.00,nan,nan,nan
Experiment 8: birth_year,2020.00,mean,7.99e8,0.00,3.07,0.30,nan,490.00,-0.01,nan,nan,nan
Experiment 8: birth_year,2021.00,mean,8.63e8,0.00,3.74,0.29,nan,466.00,0.00,nan,nan,nan
Experiment 8: birth_year,2022.00,mean,8.62e8,0.00,5.23,0.26,nan,482.00,-0.00,nan,nan,nan
Experiment 9: Embeddings only,2017.00,mean,8.79e8,0.00,3.02,0.24,nan,492.00,nan,nan,nan,0.01
Experiment 9: Embeddings only,2018.00,mean,7.81e8,0.00,2.80,0.32,nan,481.00,nan,nan,nan,0.02
Experiment 9: Embeddings only,2019.00,mean,7.43e8,0.00,2.13,0.31,nan,487.00,nan,nan,nan,0.01
Experiment 9: Embeddings only,2020.00,mean,7.93e8,0.01,3.07,0.30,nan,490.00,nan,nan,nan,0.02
Experiment 9: Embeddings only,2021.00,mean,8.62e8,0.00,3.74,0.29,nan,466.00,nan,nan,nan,0.01
Experiment 9: Embeddings only,2022.00,mean,8.54e8,0.01,5.22,0.26,nan,482.00,nan,nan,nan,0.02
Experiment 10: Embeddings and birth_year,2017.00,mean,8.76e8,0.01,2.95,0.24,nan,492.00,-0.01,nan,nan,0.01
Experiment 10: Embeddings and birth_year,2018.00,mean,7.80e8,0.01,2.80,0.32,nan,481.00,0.01,nan,nan,0.02
Experiment 10: Embeddings and birth_year,2019.00,mean,7.43e8,0.00,2.13,0.31,nan,487.00,-0.00,nan,nan,0.01
Experiment 10: Embeddings and birth_year,2020.00,mean,7.92e8,0.01,3.06,0.30,nan,490.00,-0.01,nan,nan,0.02
Experiment 10: Embeddings and birth_year,2021.00,mean,8.62e8,0.00,3.74,0.29,nan,466.00,0.00,nan,nan,0.01
Experiment 10: Embeddings and birth_year,2022.00,mean,8.53e8,0.01,5.21,0.26,nan,482.00,-0.00,nan,nan,0.02
Experiment 11: Embeddings and gender,2017.00,mean,8.78e8,0.00,3.01,0.24,nan,492.00,nan,0.01,nan,0.01
Experiment 11: Embeddings and gender,2018.00,mean,7.79e8,0.01,2.79,0.33,nan,481.00,nan,-0.02,nan,0.02
Experiment 11: Embeddings and gender,2019.00,mean,7.40e8,0.01,2.10,0.32,nan,487.00,nan,-0.03,nan,0.01
Experiment 11: Embeddings and gender,2020.00,mean,7.93e8,0.01,3.07,0.30,nan,490.00,nan,-0.00,nan,0.02
Experiment 11: Embeddings and gender,2021.00,mean,8.61e8,0.00,3.75,0.28,nan,466.00,nan,0.01,nan,0.01
Experiment 11: Embeddings and gender,2022.00,mean,8.53e8,0.01,5.21,0.26,nan,482.00,nan,-0.01,nan,0.02
Experiment 12: Embeddings and birth_municipality,2017.00,mean,2.53e8,0.71,0.65,0.24,nan,492.00,nan,nan,0.14,0.00
Experiment 12: Embeddings and birth_municipality,2018.00,mean,2.46e8,0.69,0.92,0.32,nan,481.00,nan,nan,0.18,0.00
Experiment 12: Embeddings and birth_municipality,2019.00,mean,2.11e8,0.72,0.44,0.31,nan,487.00,nan,nan,0.18,0.00
Experiment 12: Embeddings and birth_municipality,2020.00,mean,2.46e8,0.69,1.27,0.30,nan,490.00,nan,nan,0.17,0.01
Experiment 12: Embeddings and birth_municipality,2021.00,mean,2.46e8,0.72,1.63,0.29,nan,466.00,nan,nan,0.18,0.00
Experiment 12: Embeddings and birth_municipality,2022.00,mean,2.28e8,0.74,1.07,0.26,nan,482.00,nan,nan,0.16,0.00
Experiment 13: Embeddings and INPBELI_PAST,2017.00,mean,8.78e8,0.00,3.02,0.24,-0.00,492.00,nan,nan,nan,0.01
Experiment 13: Embeddings and INPBELI_PAST,2018.00,mean,7.81e8,0.00,2.80,0.32,0.00,481.00,nan,nan,nan,0.02
Experiment 13: Embeddings and INPBELI_PAST,2019.00,mean,7.43e8,0.00,2.12,0.31,0.00,487.00,nan,nan,nan,0.01
Experiment 13: Embeddings and INPBELI_PAST,2020.00,mean,7.93e8,0.01,3.07,0.30,0.00,490.00,nan,nan,nan,0.02
Experiment 13: Embeddings and INPBELI_PAST,2021.00,mean,8.61e8,0.00,3.73,0.29,-0.01,466.00,nan,nan,nan,0.01
Experiment 13: Embeddings and INPBELI_PAST,2022.00,mean,8.50e8,0.02,5.12,0.26,0.01,482.00,nan,nan,nan,0.02
