Experiment,Year,Fold,MSE,R2,MAPE,Intercept,Coeff_INPBELI_PAST,dataset_size,Coeff_birth_year,Coeff_gender,Coeff_birth_municipality_encoded,Coeff_embeddings
Experiment 10: Embeddings and birth_year,2018,mean,922514217.8169594,-0.17640755984177106,1.978474128880459,10.255852962808206,,481.0,0.03159585793840932,,,0.07167733646233929
Experiment 10: Embeddings and birth_year,2019,mean,861042774.226602,-0.15579594797787752,1.565092750153229,10.329746112056517,,487.0,-0.03691367976560692,,,0.08606214381549773
Experiment 10: Embeddings and birth_year,2020,mean,927301189.6742958,-0.15797028293207754,2.191387535405158,10.302432575024948,,490.0,-0.0582676226074557,,,0.05811573954510287
Experiment 10: Embeddings and birth_year,2021,mean,1021305016.5851444,-0.1827533655196068,2.5708891722624587,10.210226211105532,,466.0,0.036568648590450954,,,0.035856245426248594
Experiment 10: Embeddings and birth_year,2022,mean,1021546830.6636622,-0.1839123632558724,3.539734013177248,10.235687778446481,,482.0,-0.014737671124230623,,,0.05553973249842955
Experiment 11: Embeddings and gender,2017,mean,1037424345.5500921,-0.17713870148832359,2.1076782916029346,10.243194921998668,,492.0,,0.08986578388557545,,0.06667788122780452
Experiment 11: Embeddings and gender,2018,mean,920901343.0264866,-0.17435744750700127,1.971087817929341,10.313654402420093,,481.0,,-0.11885395577011577,,0.07130584057294823
Experiment 11: Embeddings and gender,2019,mean,855851166.9009384,-0.14893522241262652,1.5471376251382403,10.396350065814014,,487.0,,-0.13132926888971658,,0.09111916014052526
Experiment 11: Embeddings and gender,2020,mean,929979177.5816568,-0.16136362113206965,2.2262436012844846,10.278902551546263,,490.0,,0.047879314599631434,,0.05523132854865563
Experiment 11: Embeddings and gender,2021,mean,1020146300.7847083,-0.18142759769130673,2.594773629674759,10.136643254231064,,466.0,,0.15629129308570167,,0.03173281977914968
Experiment 11: Embeddings and gender,2022,mean,1021737619.3423077,-0.18410381486453006,3.527952583956922,10.251035742495723,,482.0,,-0.029391675611434846,,0.05568950867011202
Experiment 12: Embeddings and birth_municipality,2017,mean,302627325.999167,0.6563434249351302,0.3799030061837166,10.28760354172791,,492.0,,,0.8699551599973347,0.023016599847626447
Experiment 12: Embeddings and birth_municipality,2018,mean,290809617.6425053,0.6283185812762364,0.4593268872916926,10.255852962808206,,481.0,,,0.8242545941723106,0.006335776164972895
Experiment 12: Embeddings and birth_municipality,2019,mean,243305142.2541817,0.6732844360188548,0.31173276559096796,10.329746112056517,,487.0,,,0.7930558970390829,0.008354074300452345
Experiment 12: Embeddings and birth_municipality,2020,mean,287713196.67405,0.6415238549437186,0.8297897469903607,10.302432575024946,,490.0,,,0.7994584312587938,0.021497968500094496
Experiment 12: Embeddings and birth_municipality,2021,mean,290491270.3838463,0.6632772307789219,0.44429536276057363,10.210226211105532,,466.0,,,0.8896237728899369,0.0250370078538626
Experiment 12: Embeddings and birth_municipality,2022,mean,270523425.368047,0.6864841915665791,0.6427335865594219,10.235687778446481,,482.0,,,0.92047045262505,8.924760737213018e-16
Experiment 13: Embeddings and INPBELI_PAST,2017,mean,1037655191.7313251,-0.17737289232234618,2.124744704031253,10.28760354172791,-0.00246017459560897,492.0,,,,0.06308967333483544
Experiment 13: Embeddings and INPBELI_PAST,2018,mean,923691013.861872,-0.17787012552184117,1.9716620807443264,10.255852962808206,-0.016474493197856144,481.0,,,,0.07223228121826532
Experiment 13: Embeddings and INPBELI_PAST,2019,mean,860397002.9848328,-0.15493818389174407,1.555227856264993,10.329746112056517,0.027754008189816316,487.0,,,,0.08779879337796907
Experiment 13: Embeddings and INPBELI_PAST,2020,mean,928878596.5878236,-0.1599722136623301,2.203533214539117,10.302432575024948,-0.002595173283377331,490.0,,,,0.056847397823012624
Experiment 13: Embeddings and INPBELI_PAST,2021,mean,1022064072.8442997,-0.18369404217181953,2.563145206247854,10.210226211105532,0.006352349468624464,466.0,,,,0.035841583482057446
Experiment 13: Embeddings and INPBELI_PAST,2022,mean,1015911403.4591599,-0.17726886802081232,3.4195994636931326,10.235687778446481,0.08994837942526338,482.0,,,,0.06322445181640043
